"lat","lon","Name","Phonetic","PostalCode","Address","都道府県"
"43.3310119","145.5808182","碓氷勝三郎商店","うすいかつさぶろうしょうてん","〒087-0041","北海道根室市常盤町1-6","北海道"
"42.9784056","144.3959487","福司酒造","ふくつかさしゅぞう","〒085-0831","北海道釧路市住吉2-13-23","北海道"
"43.8042589","143.8875655","山田酒造","やまだしゅぞう","〒090-0037","北海道北見市山下町2","北海道"
"43.7956624","142.4081047","男山","おとこやま","〒079-8412","北海道旭川市永山2条7丁目","北海道"
"43.7543599","142.3746075","合同酒精 旭川工場","ごうどうせいしゅ あさひかわこうじょう","〒078-8334","北海道旭川市南四条通20-1955","北海道"
"43.7606758","142.3729018","高砂酒造","たかさごしゅぞう","〒070-0030","北海道旭川市宮下通17","北海道"
"39.6481529","141.9675135","菱屋酒造店","ひしやしゅぞうてん","〒027-0006","岩手県宮古市鍬ヶ崎下町5-24","岩手県"
"43.559366","141.881706","金滴酒造","きんてきしゅぞう","〒073-1103","北海道樺戸郡新十津川町中央71-7","北海道"
"39.2697296","141.833996","浜千鳥","はまちどり","〒026-0045","岩手県釜石市小川町3-8-7","岩手県"
"40.270202","141.7951914","鈴蘭酒造","すずらんしゅぞう","〒028-7801","岩手県久慈市侍浜町字本町7-49-1","岩手県"
"39.8467332","141.7907982","泉金酒造","せんきんしゅぞう","〒027-0501","岩手県下閉伊郡岩泉町岩泉太田30","岩手県"
"40.1298132","141.7860681","福来","ふくらい","〒028-8111","岩手県久慈市宇部町5-31","岩手県"
"43.0611695","141.7697203","小林酒造","こばやししゅぞう","〒069-1521","北海道夕張郡栗山町錦3-109","北海道"
"39.0975448","141.6925717","酔仙酒造","すいせんしゅぞう","〒022-0004","岩手県大船渡市猪川町久名110-1","岩手県"
"40.4410631","141.6299982","八戸酒類 第二工場","はちのへしゅるい だいにこうじょう","〒039-1202","青森県三戸郡階上町大字赤保内字大上26-40","青森県"
"38.9063981","141.5744332","男山本店","おとこやまほんてん","〒988-0013","宮城県気仙沼市魚町2-2-14","宮城県"
"38.9062704","141.5738722","角星","かくぼし","〒988-0013","宮城県気仙沼市魚町2-1-9","宮城県"
"39.32252","141.5737223","上閉伊酒造","かみへいしゅぞう","〒028-0501","岩手県遠野市青笹町糠前31-19-7","岩手県"
"40.5243244","141.5231608","八戸酒造","はちのへしゅぞう","〒031-0812","青森県八戸市湊町本町9","青森県"
"43.8582271","141.5228699","国稀酒造","くにまれしゅぞう","〒077-0204","北海道増毛郡増毛町稲葉町1-17","北海道"
"40.5108758","141.4921982","八鶴","はちつる","〒031-0086","青森県八戸市八日町1","青森県"
"40.5175858","141.4833602","合同酒精 八戸工場","ごうどうしゅせいはちのへこうじょう","〒031-0072","青森県八戸市城下2-11-67","青森県"
"40.5944079","141.4297108","桃川","ももかわ","〒039-2293","青森県上北郡おいらせ町上明堂112","青森県"
"43.0585104","141.3648425","日本清酒","にほんせいしゅ","〒060-0053","北海道札幌市中央区南三条東5-2","北海道"
"38.4352165","141.3084301","墨廼江酒造","すみのえしゅぞう","〒986-0827","宮城県石巻市千石町8-43","宮城県"
"40.2729268","141.3008837","南部美人","なんぶびじん","〒028-6101","岩手県二戸市福岡上町13","岩手県"
"38.4367965","141.297531","平孝酒造","ひらこうしゅぞう","〒986-0871","宮城県石巻市清水町1丁目5-3","宮城県"
"40.5249168","141.2975109","菊駒酒造","きくこましゅぞう","〒039-1554","青森県三戸郡五戸町字川原町12","青森県"
"40.5249168","141.2975109","八戸酒類 五戸工場","はちのへしゅるい ごのへこうじょう","〒039-1554","青森県三戸郡五戸町字川原町12","青森県"
"40.6150206","141.2486116","鳩正宗","はとまさむね","〒034-0001","青森県十和田市大字三本木字稲吉176-2","青森県"
"41.2979988","141.21224","関乃井酒造","せきのいしゅぞう","〒035-0031","青森県むつ市柳町1-5-15","青森県"
"38.8185589","141.1911768","磐乃井酒造","いわのいしゅぞう","〒029-3205","岩手県一関市花泉町涌津舘72","岩手県"
"39.679056","141.1840957","桜顔酒造","さくらがおしゅぞう","〒020-0811","岩手県盛岡市川目町23-18","岩手県"
"38.7585876","141.1831878","石越醸造","いしこしじょうぞう","〒989-4701","宮城県登米市石越町北郷中澤108-1","宮城県"
"39.5769986","141.1681457","月の輪酒造店","つきのわしゅぞうてん","〒028-3303","岩手県紫波郡紫波町高水寺向畑101","岩手県"
"39.5051184","141.1605818","川村酒造店","かわむらしゅぞうてん","〒028-3101","岩手県花巻市石鳥谷町好地12-132","岩手県"
"39.692507","141.1595753","あさ開","あさびらき","〒020-0828","岩手県盛岡市大慈寺町10-34","岩手県"
"39.7036584","141.156578","菊の司酒造","きくのつかさしゅぞう","〒020-0885","岩手県盛岡市紺屋町4-20","岩手県"
"40.6964523","141.1535873","盛田庄兵衛","もりたしょうべえ","〒039-2525","青森県上北郡七戸町字七戸230","青森県"
"39.6874161","141.1525134","岩手川","いわてがわ","〒020-0861","岩手県盛岡市","岩手県"
"39.36772","141.15135","白雲","はくうん","〒025-0015","岩手県花巻市","岩手県"
"39.3466171","141.1465","喜久盛酒造","きくざかりしゅぞう","〒024-0103","岩手県北上市更木3-54","岩手県"
"39.1477228","141.1411908","天瓢","てんぴょう","〒023-0047","岩手県奥州市水沢区立町13","岩手県"
"39.6654395","141.1391525","赤武酒造","あかぶしゅぞう","〒020-0852","岩手県盛岡市北飯岡1-8-25（盛岡仮事務所）","岩手県"
"38.931413","141.1328167","世嬉の一酒造","せきのいちしゅぞう","〒021-0885","岩手県一関市田村町5-42","岩手県"
"38.4741899","141.1324027","川敬商店","かわけいしょうてん","〒989-4206","宮城県遠田郡美里町二郷字高玉六号7","宮城県"
"38.9282215","141.1257313","両磐酒造","りょうばんしゅぞう","〒021-0032","岩手県一関市末広1-8-23","岩手県"
"39.5243845","141.1251594","高橋酒造店","たかはししゅぞうてん","〒028-3452","岩手県紫波郡紫波町片寄堀米36","岩手県"
"38.8677676","141.1243805","萩野酒造","はぎのしゅぞう","〒989-4806","宮城県栗原市金成有壁新町52","宮城県"
"39.0537402","141.1223701","岩手銘醸","いわてめいじょう","〒029-4208","岩手県奥州市前沢区新町13","岩手県"
"39.5519969","141.1086691","吾妻嶺酒造店","あづまみねしゅぞうてん","〒028-3453","岩手県紫波郡紫波町土舘内川5","岩手県"
"39.5632645","141.1039472","廣田酒造店","ひろたしゅぞうてん","〒028-3447","岩手県紫波郡紫波町宮手泉屋敷2-4","岩手県"
"39.9097078","141.0961945","わしの尾","わしのお","〒028-7111","岩手県八幡平市大更第22地割158","岩手県"
"38.5019953","141.048708","一ノ蔵","いちのくら","〒987-1393","宮城県大崎市 松山千石字大欅14","宮城県"
"37.4795462","141.0253672","鈴木酒造店","すずきしゅぞうてん","〒979-1522","福島県双葉郡浪江町請戸東向10","福島県"
"38.3169091","141.0191968","佐浦","さうら","〒985-0052","宮城県塩竈市本町2-19","宮城県"
"37.4932193","141.0139387","馬場酒造本店","ばばしゅぞうほんてん","〒979-151","福島県双葉郡浪江町北幾世橋大町21","福島県"
"38.3171256","141.0138918","阿部勘酒造店","あべかんしゅぞうてん","〒985-0057","宮城県塩竈市西町3-9","宮城県"
"38.6566443","141.011252","はさまや酒造店","はさまやしゅぞうてん","〒987-2186","宮城県栗原市高清水字中町8番地","宮城県"
"43.1790326","141.0059368","北の誉酒造","きたのほまれしゅぞう","〒047-0013","北海道小樽市奥沢1-21-15","北海道"
"43.172049","141.0058651","雪の花酒造","ゆきのはなしゅぞう","〒047-0003","北海道小樽市","北海道"
"43.2034466","140.9984998","田中酒造","たなかしゅぞう","〒047-0031","北海道小樽市色内3-2-5","北海道"
"43.2017913","140.9944642","山二わたなべ","やまにわたなべ","〒047-0032","北海道小樽市稲穂4-6-1","北海道"
"37.492416","140.9936683","上田善治郎商店","うえだぜんじろうしょうてん","〒979-1513","福島県双葉郡浪江町権現堂新町15","福島県"
"38.8268347","140.9851212","千田酒造","ちだしゅぞう","〒989-5351","宮城県栗原市栗駒中野北畑中63-1","宮城県"
"38.5673902","140.9837389","宮城ふるさと酒造","みやぎふるさとしゅぞう","〒989-6112","宮城県大崎市古川馬寄字屋敷3-2","宮城県"
"38.5762827","140.9557134","橋平酒造店","はしへいしゅぞうてん","〒989-6153","宮城県大崎市古川七日町3-1","宮城県"
"38.1782391","140.9487191","佐々木酒造店","ささきしゅぞうてん","〒981-1213","宮城県名取市閖上1-8-10","宮城県"
"38.529138","140.9457081","新澤醸造店","にいざわじょうぞうてん","〒989-6321","宮城県大崎市三本木字北町63","宮城県"
"38.4555484","140.937234","大和蔵酒造","たいわぐらしゅぞう","〒981-3408","宮城県黒川郡大和町松坂平8-1","宮城県"
